#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
157.0,Tanzania,42906,60.0,846.0,,-,-,-,7,678.0,13.0,,,63298550.0,Africa,08-03-2023
158.0,Mayotte,42004,,188.0,,-,-,-,,146734.0,657.0,176919.0,618038.0,286259.0,Africa,08-03-2023
159.0,Mauritius,41752,,1043.0,,40030,,679,,32754.0,818.0,358675.0,281374.0,1274727.0,Africa,08-03-2023
160.0,Togo,39396,2.0,290.0,,39081,,25,,4538.0,33.0,808684.0,93157.0,8680837.0,Africa,08-03-2023
161.0,Guinea,38267,,467.0,,37757,,43,8,2760.0,34.0,660107.0,47607.0,13865691.0,Africa,08-03-2023
162.0,Isle of Man,38008,,116.0,,-,-,-,,443335.0,1353.0,150753.0,1758422.0,85732.0,Europe,08-03-2023
163.0,Bahamas,37491,,833.0,,36366,,292,1,93607.0,2080.0,257839.0,643767.0,400516.0,North America,08-03-2023
164.0,Lesotho,34790,,723.0,,25980,,8087,,15990.0,332.0,431221.0,198199.0,2175699.0,Africa,08-03-2023
165.0,Faeroe Islands,34658,,28.0,,-,-,-,5,703959.0,569.0,778000.0,15802409.0,49233.0,Europe,08-03-2023
166.0,Haiti,34202,,860.0,,33052,,290,,2928.0,74.0,132422.0,11337.0,11680283.0,North America,08-03-2023
167.0,Mali,33061,2.0,743.0,,32190,+10,128,,1540.0,35.0,797105.0,37120.0,21473764.0,Africa,08-03-2023
168.0,Cayman Islands,31472,,37.0,,8553,,22882,1,467797.0,550.0,222773.0,3311280.0,67277.0,North America,08-03-2023
169.0,Saint Lucia,30004,,409.0,,29095,,500,,162085.0,2209.0,210983.0,1139752.0,185113.0,North America,08-03-2023
170.0,Benin,27999,,163.0,,27830,,6,,2190.0,13.0,604310.0,47268.0,12784726.0,Africa,08-03-2023
171.0,Somalia,27324,,1361.0,,13182,,12781,,1622.0,81.0,400466.0,23778.0,16841795.0,Africa,08-03-2023
172.0,Congo,25375,,386.0,,24006,,983,,4377.0,67.0,347815.0,59991.0,5797805.0,Africa,08-03-2023
173.0,Solomon Islands,24575,,153.0,,-,-,-,1,34077.0,212.0,,,721159.0,Australia/Oceania,08-03-2023
174.0,Micronesia,23948,,61.0,,-,-,-,1,203832.0,519.0,54967.0,467848.0,117489.0,Australia/Oceania,08-03-2023
175.0,San Marino,23616,,122.0,,23471,,23,4,692856.0,3579.0,157634.0,4624732.0,34085.0,Europe,08-03-2023
176.0,Timor-Leste,23419,1.0,138.0,,23102,,179,,17101.0,101.0,278529.0,203391.0,1369429.0,Asia,08-03-2023
177.0,Burkina Faso,22056,,396.0,,21596,,64,,998.0,18.0,248995.0,11265.0,22102838.0,Africa,08-03-2023
178.0,Liechtenstein,21431,1.0,89.0,,21320,+4,22,5,558288.0,2318.0,112457.0,2929559.0,38387.0,Europe,08-03-2023
179.0,Gibraltar,20433,,111.0,,16579,,3743,,606249.0,3293.0,534283.0,15852213.0,33704.0,Europe,08-03-2023
180.0,Grenada,19680,,238.0,,19358,,84,4,173430.0,2097.0,182981.0,1612523.0,113475.0,North America,08-03-2023
181.0,Bermuda,18828,14.0,160.0,,18653,+15,15,,303976.0,2583.0,1028312.0,16602012.0,61939.0,North America,08-03-2023
182.0,Nicaragua,18491,,225.0,,4225,,14041,,2728.0,33.0,,,6779100.0,North America,08-03-2023
183.0,South Sudan,18368,,138.0,,18115,,115,1,1581.0,12.0,410280.0,35313.0,11618511.0,Africa,08-03-2023
184.0,Tajikistan,17786,,125.0,,17264,,397,,1786.0,13.0,,,9957464.0,Asia,08-03-2023
185.0,Equatorial Guinea,17229,,183.0,,16907,,139,5,11512.0,122.0,365697.0,244342.0,1496662.0,Africa,08-03-2023
186.0,Tonga,16810,3.0,13.0,,15638,,1159,,156011.0,121.0,535009.0,4965327.0,107749.0,Australia/Oceania,08-03-2023
187.0,Samoa,16607,,29.0,,1605,,14973,,82116.0,143.0,187397.0,926612.0,202239.0,Australia/Oceania,08-03-2023
188.0,Monaco,16119,4.0,67.0,,15992,,60,4,405173.0,1684.0,78646.0,1976875.0,39783.0,Europe,08-03-2023
189.0,Dominica,15760,,74.0,,15673,,13,,217848.0,1023.0,229344.0,3170187.0,72344.0,North America,08-03-2023
190.0,Djibouti,15690,,189.0,,15427,,74,,15441.0,186.0,305941.0,301094.0,1016097.0,Africa,08-03-2023
191.0,Marshall Islands,15649,31.0,17.0,,15528,,104,,260569.0,283.0,,,60057.0,Australia/Oceania,08-03-2023
192.0,CAR,15368,,113.0,,15200,,55,2,3063.0,23.0,81294.0,16205.0,5016678.0,Africa,08-03-2023
193.0,Gambia,12598,,372.0,,12189,,37,,4924.0,145.0,155686.0,60851.0,2558482.0,Africa,08-03-2023
194.0,Saint Martin,12271,14.0,63.0,,1399,,10809,7,308860.0,1586.0,112382.0,2828643.0,39730.0,North America,08-03-2023
195.0,Vanuatu,12014,,14.0,,11976,,24,,37330.0,44.0,24976.0,77606.0,321832.0,Australia/Oceania,08-03-2023
196.0,Greenland,11971,,21.0,,2761,,9189,4,210117.0,369.0,164926.0,2894810.0,56973.0,North America,08-03-2023
