"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
Namibia,171156,0.0,4090.0,0.0,166776.0,0.0,290.0,64983.0,1553.0,1062663.0,403460.0,2633874.0,Africa,09-03-2023
Uganda,170544,0.0,3630.0,0.0,100431.0,0.0,66483.0,3521.0,75.0,3012408.0,62198.0,48432863.0,Africa,09-03-2023
Jamaica,154416,129.0,3514.0,3.0,102529.0,136.0,48373.0,51729.0,1177.0,1183986.0,396633.0,2985094.0,North America,09-03-2023
Cambodia,138719,0.0,3056.0,0.0,135660.0,0.0,3.0,8080.0,178.0,3091420.0,180062.0,17168639.0,Asia,09-03-2023
Rwanda,133194,0.0,1468.0,0.0,131647.0,0.0,79.0,9793.0,108.0,6021981.0,442778.0,13600464.0,Africa,09-03-2023
Cameroon,124392,0.0,1965.0,0.0,122344.0,0.0,83.0,4457.0,70.0,1751774.0,62762.0,27911548.0,Africa,09-03-2023
Malta,117610,0.0,828.0,0.0,116117.0,0.0,665.0,264868.0,1865.0,2119315.0,4772877.0,444033.0,Europe,09-03-2023
Barbados,106798,153.0,579.0,4.0,106211.0,154.0,8.0,370797.0,2010.0,794426.0,2758203.0,288023.0,North America,09-03-2023
Angola,105288,0.0,1933.0,0.0,103342.0,0.0,13.0,3006.0,55.0,1499795.0,42818.0,35027343.0,Africa,09-03-2023
Channel Islands,101449,0.0,227.0,0.0,101091.0,0.0,131.0,574902.0,1286.0,1252808.0,7099551.0,176463.0,Europe,09-03-2023
French Guiana,98041,0.0,420.0,0.0,11254.0,0.0,86367.0,312065.0,1337.0,651257.0,2072951.0,314169.0,South America,09-03-2023
DRC,95749,0.0,1464.0,0.0,84321.0,0.0,9964.0,1005.0,15.0,846704.0,8890.0,95240792.0,Africa,09-03-2023
Senegal,88926,0.0,1971.0,0.0,86947.0,0.0,8.0,5037.0,112.0,1146543.0,64946.0,17653671.0,Africa,09-03-2023
Malawi,88707,0.0,2686.0,0.0,85583.0,0.0,438.0,4396.0,133.0,624784.0,30959.0,20180839.0,Africa,09-03-2023
Ivory Coast,88263,8.0,834.0,0.0,87411.0,14.0,18.0,3182.0,30.0,1681366.0,60607.0,27742298.0,Africa,09-03-2023
Suriname,82467,0.0,1404.0,0.0,,,,138175.0,2352.0,241357.0,404398.0,596831.0,South America,09-03-2023
New Caledonia,79881,0.0,314.0,0.0,79558.0,0.0,9.0,274585.0,1079.0,98964.0,340182.0,290915.0,Australia/Oceania,09-03-2023
French Polynesia,78055,0.0,649.0,0.0,,,,274683.0,2284.0,0.0,0.0,284164.0,Australia/Oceania,09-03-2023
Eswatini,74267,0.0,1425.0,0.0,72795.0,0.0,47.0,62682.0,1203.0,1048704.0,885119.0,1184817.0,Africa,09-03-2023
Guyana,73075,0.0,1298.0,0.0,71756.0,0.0,21.0,92029.0,1635.0,722237.0,909567.0,794045.0,South America,09-03-2023
Belize,70757,0.0,688.0,0.0,70056.0,0.0,13.0,171661.0,1669.0,576016.0,1397453.0,412190.0,North America,09-03-2023
Fiji,68898,1.0,883.0,0.0,67006.0,146.0,1009.0,75757.0,971.0,669148.0,735759.0,909466.0,Australia/Oceania,09-03-2023
Madagascar,67889,0.0,1423.0,0.0,66445.0,0.0,21.0,2327.0,49.0,526651.0,18050.0,29178077.0,Africa,09-03-2023
Sudan,63829,0.0,5017.0,0.0,58492.0,0.0,320.0,1388.0,109.0,562941.0,12240.0,45992020.0,Africa,09-03-2023
Mauritania,63668,0.0,997.0,0.0,62441.0,0.0,230.0,12988.0,203.0,1009957.0,206030.0,4901981.0,Africa,09-03-2023
Cabo Verde,63244,0.0,413.0,0.0,62773.0,0.0,58.0,111408.0,728.0,401622.0,707482.0,567678.0,Africa,09-03-2023
Bhutan,62627,0.0,21.0,0.0,61564.0,0.0,1042.0,79482.0,27.0,2303734.0,2923739.0,787941.0,Asia,09-03-2023
Syria,57467,0.0,3164.0,0.0,54303.0,0.0,0.0,2968.0,163.0,146269.0,7553.0,19364809.0,Asia,09-03-2023
Burundi,53631,0.0,38.0,0.0,53569.0,0.0,24.0,4248.0,3.0,345742.0,27386.0,12624840.0,Africa,09-03-2023
Seychelles,50665,0.0,172.0,0.0,50440.0,0.0,53.0,509575.0,1730.0,0.0,0.0,99426.0,Africa,09-03-2023
Gabon,48981,0.0,306.0,0.0,48674.0,0.0,1.0,21008.0,131.0,1621909.0,695641.0,2331533.0,Africa,09-03-2023
Andorra,47890,0.0,165.0,0.0,47563.0,0.0,162.0,618231.0,2130.0,249838.0,3225256.0,77463.0,Europe,09-03-2023
Papua New Guinea,46825,0.0,670.0,0.0,43982.0,0.0,2173.0,5039.0,72.0,249149.0,26813.0,9292169.0,Australia/Oceania,09-03-2023
Curaçao,45986,0.0,295.0,0.0,44720.0,0.0,971.0,277812.0,1782.0,496693.0,3000640.0,165529.0,North America,09-03-2023
Aruba,44044,0.0,236.0,0.0,42438.0,0.0,1370.0,409297.0,2193.0,177885.0,1653068.0,107609.0,North America,09-03-2023
Tanzania,42906,0.0,846.0,0.0,,,,678.0,13.0,0.0,0.0,63298550.0,Africa,09-03-2023
Mayotte,42004,0.0,188.0,0.0,,,,146734.0,657.0,176919.0,618038.0,286259.0,Africa,09-03-2023
Mauritius,41752,0.0,1043.0,0.0,40030.0,0.0,679.0,32754.0,818.0,358675.0,281374.0,1274727.0,Africa,09-03-2023
Togo,39396,0.0,290.0,0.0,39081.0,0.0,25.0,4538.0,33.0,808684.0,93157.0,8680837.0,Africa,09-03-2023
Guinea,38267,0.0,467.0,0.0,37757.0,0.0,43.0,2760.0,34.0,660107.0,47607.0,13865691.0,Africa,09-03-2023
Isle of Man,38008,0.0,116.0,0.0,,,,443335.0,1353.0,150753.0,1758422.0,85732.0,Europe,09-03-2023
